YES/NO,Deutsch,English / SK,Comment,LEGEND
,Ich komme aus Trnava. Ich bin 60 Jahre alt. Ich habe keinen Fúhrerschein. Ich spreche Chinesisch und Spanisch. Ich habe 2 Kinder. Ich arbeite 4 Tage pro Woche. Ich habe in Russland gelebt. Ich spiele gern Hockey. Ich kann gut singen und kochen. Ich habe Jura studiert. Ich bin jetzt in der Schweiz.,I come from Trnava. I am 60 years old. I do not have a driving license. I speak Chinese and Spanish. I have 2 children. I work 4 days a week. I lived in Russia. I like playing hockey. I can sing and cook well. I studied law. I'm in Switzerland now.,,
,lass mich in Ruhe bitte,please leave me alone,,
,erleben,experience,,
,genießen,enjoy,,
,Aufmerksamkeit ableiten,odvrátiť pozornosť,,
,unangenehm,nepríjemný,,
,Ich kann ihr nicht riechen,I can't smell her,,
,sich leiden können,can suffer each other,,
,riechen,smell,,
,Geruchssinn,sense of smell,,
,Gerüche,smells,,
,gerüchen,vonia,,
,angst haben von,be afraid of,,
,angst haben vor,to be scared of,,
,Stimme,voice,,
,Körpersprache,Reč tela,,
,"Ich gehe heute nicht zur Arbeit, ich bin nämlich krank",I'm not going to work today because I'm sick,,
,"Ich gehe nicht zur Arbeit weil ich Freizeit habe.

Ich gehe nicht zur Arbiet, denn ich habe Freizeit.","Nechodím do práce, lebo mám voľný čas.

Nechodím do práce, lebo mám voľný čas.",,
,Verantwortungbewusstsein,Sense of responsibility,,
,anwesenheitslisten werden mehrmals kontrolliert,Attendance lists are checked several times,,
,Personalwesen,human Resource,,
,überstunden nachrechnen,Calculate overtime,,
,überstunden machen,Rob nadčas,,
,Überstunden,nadčas,,
,in dern Periode/ Zeitraum,v tom období/období,,
,Anwesenheitslisten,Attendance lists,,
,lange Zeit her,long time ago,,
,Befehl,príkaz,,
,gemütlich,cozy,,
,"Susanne macht ein Praktikum im Krankenhaus, weil sie die Arbeit dort kennenlernen will.

Susanne macht ein Praktikum im Krankenhaus, denn sie will die Arbeit dort kennenlernen.","Susanne je na stáži v nemocnici, pretože chce spoznať tamojšiu prácu.

Susanne je na stáži v nemocnici, pretože chce spoznať tamojšiu prácu.",,
,geräten,devices,,
,anziehsachen,clothes,,
,der spenkler,the sprinkler,,
,die meldung,the message,,
,der rauchmelder,the smoke detector,,
,Die Anzahl muss man kontrollieren,You have to control the number,,
,fire brigade,Feuerwehr,,
,sich versammeln,gather together,,
,nur die treppe,just the stairs,,
,man darf nicht den aufzug benutzen,you are not allowed to use the elevator,,
,feuerlöscher,fire extinguisher,,
,Brandschutz,Fire protection,,
,back pain,Rückenschmerzen,,
,switch off,ausschalten,,
,exclude,ausschließen,,
,busy weekend,stressiges Wochenende,,
,recent events,die jüngsten Ereignisse,,
,erledigen,carry out,,
,Ich möchte darauf hinweisen,I would like to point this out,,
,stammen = kommen aus,originate = come from,,
,aufräumen,clean up,,
,[] ich gebe dir Bescheid,[] I'll let you know,,
,beschäftigen = besetzen,employ = occupy,,
,beschäftigen,occupy,,
,beschäftigen,employ,,
,Fertiggericht,convenience food,,
,[] alles läuft Glatt,[] everything is going smoothly,,
,[] ab un zu,[] from time to time,,
,zur Verfügung haben,have available,,
,Rahmenbedingung,Framework condition,,
,Ich möchte darauf hin,I want to go to that,,
,asylverfahren,asylum procedure,,
,jemanden vermissen,to miss someone,,
,beide,both,,
,Hauptsache,main thing,,
,sich einleben,to settle in,,
,baustelle,construction site,,
,Gebäude,Building,,
,Geflüchtete,Refugees,,
,flucht,escape,,
,ursprünglich,originally,,
,hinweisen auf,point out,,
,steuererklärung,tax declaration,,
,neugierig,curious,,
,peinlich,awkward,,
,peinlich,trápne,,
,das Arbeitsrecht befolgen,comply with labor law,,
,verantwortlich,responsible,,
,vorsichtig,cautious,,
,nach Hause kommen (Wohin),come home (where to),,
,Vorurteil,Prejudice,,
,ich setze mich auf den stuhl,I sit down on the chair,,
,ich sitze auf dem Stuhl,I'm sitting on the chair,,
,totiž,nämlich,,
,ableiten,odvodiť,,
,Sorge,Starosti,,
,personalistika,Personalwesen,,
,aufpassen bitte,prosím buď opatrný,,
,aufpassen auf,postarať sa o,,
,befassen sich mit,deal with,,
,Überschrift,headline,,
,Nachricht,News,,
,i will share my screen,Ich werde meinen Bildschirm teilen,,
,ehrlich gesagt,honestly,,
,deshalb,for this reason,,
,sondern,rather,,
,sonnig,sunny,,
,Es kommt darauf an,It depends on,,
,Es hängt von dem Thema ab,It depends on the topic,,
,einhalten,retain,,
,verpassen,miss,,
,absagen,cancel,,
,verlegen,move,,
,bekannt geben,announce,,
,akzeptieren,accept,,
,bestätigen,confirm,,
,vorschlagen,suggest,,
,verabreden,make a date,,
,zustimmen,agree,,
,vereinbaren,agree,,
,bestimmen,determine,,
,festlegen,establish,,
,go through,durchgehen,,
,stammen,come,,
,stammen von,originate from,,
,stammen aus,come from,,
,ungefähr,approximately,,
,ich gebe dir bescheid,I'll let you know,,
,ausgiebig,extensively,,
,Bedingungen,Conditions,,
,ramcova podmienka,Rahmenbedingungen,,
,fertiggericht,hotové jedlo,,
,faulenzen,leňošiť okolo,,
,senken,reduce,,
,sich leiden können,can suffer each other,,
,Ich kann ihn nicht riechen,I can't smell him,,
,smell,riechen,,
,smell,Geruch,,
,angry,verärgert,,
,angry,wütend,,
,annoying,ärgerlich,,
,to be afraid,Angst zu haben,,
,Stimme,voice,,
,Body language,Körpersprache,,
,somehow,irgendwie,,
,Responsible,verantwortlich,,
,Responsibility,Verantwortung,,
,human Resources,Personalwesen,,
,Attendance lists,Anwesenheitslisten,,
,Arbeitsrecht,Employment Law,,
,Überstunden,overtimes,,
,Unterschied,difference,,
,Challenge,Herausforderung,,
,verantwortlich,responsible,,
,Mandatory training,Pflichtschulung,,
,outside,draußen,,
,cozy,gemütlich,,
,überreden,convince,,
,geschirr,dishes,,
,besprechen,discuss,,
,zulassen,allow,,
,schneiden,cut,,
,scheiden,divorce,,
,decide,entscheiden,,
,entschieden,decided,,
,Vorgesetzte,Superiors,,
,die Angestellten,the employees,,
,streiten,argue,,
,unterrichten,teach,,
,unterhalten,entertain,,
,erinnern,remember,,
,Lösung,Solution,,
,Erfolg,success,,
,Vergangenheit,past,,
,Abrechnung,invoice,,
,beschäftigt,busy,,
,Ergebnis,Result,,
,gemeinsam,together,,
,entscheiden,decide,,
,bedienen,serve,,
,betreuen die Pazienten,look after the patients,,
,beraten,advise,,
,entwerfen die Gebäude,design the buildings,,
,entwerfen,design,,
,betreuen,look after,,
,sofort,okamžite,,
,auswahl,výber,,
,versuchen,try,,
,benutzen,use,,
,insgesamt,altogether,,
,Ort,place,,
,verschieben termin,postpone appointment,,
,verschieben auf,move to,,
,Erfüllung,fulfillment,,
,selbstverwirklichung,self-realization,,
,Anerkennung,recognition,,
,zuwendung,affection,,
,Vermögen,Assets,,
,Wohlstand,prosperity,,
,verbringen Zeit,to spend time,,
,vorstellen sich,introduce yourself,,
,verabschieden sie sich am ende der Sitzung,say goodbye at the end of the meeting,,
,gegenwart und zukunft,Present and Future,,
,Erfolg,Success,,
,Leistung,Performance,,
,Lebenserwartung,Life expectancy,,
,Entspannung,Relaxation,,
,Erholung,recreation,,
,Ernährung,Nutrition,,
,vereinbaren termin,arrange an appointment,,
,vorbereiten,prepare,,
,ehrlich,honest,,
,fehlen,miss,,
,verlassen,leave,,
,das gleiche,the same,,
,regelmäßig,regularly,,
,Ehefrau,Wife,,
,einschlafen,fall asleep,,
,vorbereiten,prepare,,
,üben,practice,,
,genieße,enjoy,,
,gucken,look,,
,zack,boom,,
,anrufen,call,,
,alarm clock rings,Der Wecker klingelt,,
,alarm clock,Wecker,,
,drehen sich um,turn around,,
,verwenden,use,,
,verletzten,injured,,
,verschieben,move/shift,,
,vielleicht,perhaps,,
,erreichen,to reach/gain,,
,benötigen,to need,,
,bevorzugen,prefer,,
,Gewohnheit,habit,,
,maßnahmen,measures,,
,besuchen,visit,,
,großeltern,grandparents,,
,ist der supermarkt noch auf,is the supermarket still open?,,
,verbinden,connect,,
,weder noch,neither nor,,
,vorstellen sich,predstav sa,,
,abmelden,odhlásiť sa,,
,entfernen,odstrániť,,
,piggyback,na chrbte,,
,wehtun,hurt,,
,verletzen,injure,,
,annehmen oder ablehnen,prijať alebo odmietnuť,,
,ablehnen,odmietnuť,,
,bestätigen,potvrdiť,,
,höchstens,najviac,,
,jeden mal,vždy,,
,at least,mindestens,,
,gewöhnlich,zvyčajne,,
,zvycajne,normalerweise,,
,Berufsalltag,Každodenný pracovný život,,
,mehrmals,niekoľko krát,,
,Einladung,Pozvánka,,
,Zukunft,Budúcnosť,,
